movies_name,category,num_voter,rating,price,year_of_release,month_of_release
Pet Sematary (2019),,6,3.3, 14.99,2019,4
Alita: Battle Angel,Action & adventure,875,4.2, 19.99,2019,2
The Intruder (Subbed),,9,3.9, 38.99,2019,5
Breakthrough,Drama,145,3.8, 55.99,2019,4
The Aftermath,Drama,48,3.5, 55.99,2019,3
FIGHTING WITH MY FAMILY,Comedy,21,3.0, 36.99,2019,2
AFTER,Drama,39,4.2, 36.99,2019,4
Tolkien,Drama,19,4.2, 19.99,2019,5
PUPPY SWAP LOVE UNLEASHED,Family,1,1.0, 36.99,2019,7
LITTLE WOODS,Drama,5,4.2, 36.99,2019,4
GWEN,Drama,0,0.0, 36.99,2019,7
HER SMELL,Drama,6,4.3, 36.99,2019,4
THE BOUNCER,Action & adventure,0,0.0, 36.99,2018,8
VISWASAM,Action & adventure,4,3.5, 14.99,2019,1
SUPERVIZED,Comedy,2,4.5, 36.99,2019,7
Untogether,Drama,12,3.5, 14.99,2019,2
Sarvam Thaala Mayam,Drama,2,5.0, 14.99,2019,2
SEETHAKAATHI,Drama,3,5.0, 14.99,2018,12
DHILLUKU DHUDDU 2,Comedy,6,3.5, 14.99,2019,2
THE WHITE CROW,Drama,2,4.0, 36.99,2019,3
The Favourite,Comedy,117,3.6, 19.99,2018,11
Widows,Drama,264,3.5, 19.99,2018,11
Deadpool 2,Action & adventure,"6,634",4.4, 55.99,2018,5
IN DARKNESS,Drama,1,5.0, 36.99,2018,7
The Predator,Action & adventure,"1,764",4.1, 55.99,2018,9
The Hate U Give,Drama,184,4.5, 19.99,2018,10
Can You Ever Forgive Me?,Comedy,61,3.5, 19.99,2018,10
Bad Times at the El Royale,,173,3.6, 55.99,2018,10
Once Upon a Deadpool,Action & adventure,395,4.2, 58.99,2018,5
TAMIZH PADAM 2,Comedy,4,4.8, 14.99,2018,7
To Dust,Drama,11,3.8, 14.99,2019,2
RATSASAN,Action & adventure,4,5.0, 14.99,2018,10
EXTRAORDINARY JOURNEY OF FAKIR,Comedy,0,0.0, 36.99,2018,5
Super Troopers 2,Comedy,150,3.7, 58.99,2018,4
SILUKKUVARUPATTI SINGAM,Comedy,6,3.7, 14.99,2018,12
MANDY,Action & adventure,5,3.2, 36.99,2018,9
DRUNK PARENTS,Comedy,18,3.4, 36.99,2019,4
THE PRODIGY,Horror,29,4.3, 36.99,2019,2
LIFE CHANGER,Horror,3,3.3, 36.99,2019,6
"Happy New Year, Colin Burstead",Drama,0,0.0, 36.99,2018,12
SECOND ACT,Comedy,14,2.7, 36.99,2018,12
RED JOAN,Drama,1,2.0, 36.99,2019,4
Velaikkaran,Action & adventure,0,0.0, 14.99,2017,12
The House That Jack Built,Drama,5,3.4, 36.99,2018,11
The Standoff at Sparrow Creek,Drama,1,5.0, 36.99,2019,1
THE UPSIDE,Comedy,40,3.5, 36.99,2019,1
"Extremely Wicked, Shockingly Evil, and Vile",Drama,3,5.0, 36.99,2019,5
The Hummingbird Project,Drama,1,3.0, 36.99,2019,3
DON QUIXOTE,Action & adventure,1,5.0, 14.99,2017,11
Kathanayagan,Comedy,1,1.0, 14.99,2017,9
MILE 22,Action & adventure,12,3.8, 36.99,2018,8
VICE,Comedy,7,3.6, 36.99,2018,12
Uncle Naji in UAE,Comedy,15,4.1, 36.99,2019,3
